First Name,Last Name,Subject ID,Visit Date,Address,City,State,ZIP,Phone,Email,Study Type,Study Completed,Payment Done
Bruce,Wayne,BAT-001,3/1/2026,1007 Mountain Drive,Gotham,NJ,07001,555-867-5309,bruce@wayneenterprises.com,In-Facility,Yes,Yes
Dick,Grayson,BAT-002,3/3/2026,4 Haley Circus Lane,Gotham,NJ,07002,555-234-5678,nightwing@heromail.com,At-Home,Yes,Yes
Barbara,Gordon,BAT-003,3/5/2026,22 Clocktower Ave,Gotham,NJ,07003,555-345-6789,oracle@heromail.com,In-Facility,Yes,Yes
Jason,Todd,BAT-004,3/7/2026,99 Crime Alley,Gotham,NJ,07004,555-456-7890,redhood@heromail.com,At-Home,No,No
Tim,Drake,BAT-005,3/10/2026,12 Drake Manor Rd,Gotham,NJ,07005,555-567-8901,redrobin@heromail.com,In-Facility,Yes,No
Cassandra,Cain,BAT-006,3/12/2026,7 Orchid Bay Blvd,Gotham,NJ,07006,555-678-9012,blackbat@heromail.com,At-Home,No,No
Stephanie,Brown,BAT-007,3/14/2026,33 Spoiler St,Gotham,NJ,07007,555-789-0123,spoiler@heromail.com,In-Facility,Yes,Yes
Damian,Wayne,BAT-008,3/17/2026,1007 Mountain Drive,Gotham,NJ,07001,555-890-1234,robin@wayneenterprises.com,At-Home,Yes,No
Alfred,Pennyworth,BAT-009,3/19/2026,1007 Mountain Drive,Gotham,NJ,07001,555-901-2345,alfred@wayneenterprises.com,In-Facility,Yes,No
Duke,Thomas,BAT-010,3/21/2026,55 Signal Tower Rd,Gotham,NJ,07008,555-012-3456,signal@heromail.com,At-Home,No,No
